植物中文名,中文学名,拉丁名,国外分布
美丽枕果榕,毛枕果榕,Ficus drupacea Thunb. var. pubescens (Roth) Corner,尼泊尔、缅甸、老挝、越南、孟加拉国、印度、斯里兰卡
非洲楝,非洲楝,Khaya senegalensis (Desr.) A. Juss.,非洲热带地区、马达加斯加
水石榕,水石榕,Elaeocarpus hainanensis Oliv.,越南、泰国
大琴叶榕,大琴叶榕,Ficus lyrata,非洲热带地区
朴树,朴,Celtis sinensis Pers.,朝鲜、日本、越南
吊瓜树,吊瓜树,Kigelia africana (Lam.) Benth.,热带非洲、马达加斯加
海南蒲桃,海南蒲桃,Syzygium hainanense H. T. Chang & R. H. Miao,中南半岛、马来西亚、印度尼西亚、澳大利亚
安石榴,石榴,Punica granatum L.,伊朗、印度、地中海沿岸、美国
黄金榕,黄金榕,Ficus microcarpa 'Golden Leaves',东南亚、澳大利亚
刺桐,刺桐,Erythrina variegata L.,印度、马来西亚、大洋洲诸岛
鸡冠刺桐,鸡冠刺桐,Erythrina crista-galli L.,阿根廷、巴西、巴拉圭、乌拉圭
台湾相思,台湾相思,Acacia confusa Merr.,菲律宾、印度尼西亚
大叶相思,大叶相思,Acacia auriculiformis A. Cunn. ex Benth.,澳大利亚、巴布亚新几内亚、印度尼西亚
马占相思,马占相思,Acacia mangium Willd.,澳大利亚、巴布亚新几内亚、印度尼西亚
串钱柳,垂枝红千层,Melaleuca viminalis Byrnes,澳大利亚
红千层,红千层,Callistemon rigidus R. Br.,澳大利亚
白千层,白千层,Melaleuca cajuputi subsp. cumingiana (Turcz.) Barlow,澳大利亚、马来西亚、印度尼西亚
降香黄檀,降香,Dalbergia odorifera T. Chen,无
糖胶树,糖胶树,Alstonia scholaris (L.) R. Br.,印度、斯里兰卡、缅甸、泰国、越南、马来西亚、菲律宾、澳大利亚
铁冬青,铁冬青,Ilex rotunda Thunb.,朝鲜、日本、越南
南洋杉,南洋杉,Araucaria cunninghamii Mudie,澳大利亚、新几内亚
紫薇,紫薇,Lagerstroemia indica L.,日本、朝鲜
大花紫薇,大花紫薇,Lagerstroemia speciosa (L.) Pers.,印度、斯里兰卡、缅甸、泰国、越南、马来西亚、澳大利亚
龙眼,龙眼,Dimocarpus longan Lour.,泰国、越南、印度、印度尼西亚、马来西亚
荔枝,荔枝,Litchi chinensis Sonn.,越南、泰国、印度、马达加斯加
阴香,阴香,Cinnamomum burmanni (Nees et T. Nees) Blume,印度、缅甸、越南、印度尼西亚
