植物中文名,中文学名,拉丁名,果期
美丽枕果榕,毛枕果榕,Ficus drupacea Thunb. var. pubescens (Roth) Corner,7-10月
非洲楝,非洲楝,Khaya senegalensis (Desr.) A. Juss.,翌年4-6月
水石榕,水石榕,Elaeocarpus hainanensis Oliv.,9-10月
大琴叶榕,大琴叶榕,Ficus lyrata,12月至翌年1月
朴树,朴,Celtis sinensis Pers.,10-11月
吊瓜树,吊瓜树,Kigelia africana (Lam.) Benth.,9-12月
海南蒲桃,海南蒲桃,Syzygium hainanense H. T. Chang & R. H. Miao,6-9月
安石榴,石榴,Punica granatum L.,9-10月
黄金榕,黄金榕,Ficus microcarpa 'Golden Leaves',7-8月
刺桐,刺桐,Erythrina variegata L.,8月
鸡冠刺桐,鸡冠刺桐,Erythrina crista-galli L.,8-10月
台湾相思,台湾相思,Acacia confusa Merr.,8-12月
大叶相思,大叶相思,Acacia auriculiformis A. Cunn. ex Benth.,5-9月
马占相思,马占相思,Acacia mangium Willd.,9-11月
串钱柳,垂枝红千层,Melaleuca viminalis Byrnes,10-12月
红千层,红千层,Callistemon rigidus R. Br.,10-12月
白千层,白千层,Melaleuca cajuputi subsp. cumingiana (Turcz.) Barlow,翌年2-3月
降香黄檀,降香,Dalbergia odorifera T. Chen,10-11月
糖胶树,糖胶树,Alstonia scholaris (L.) R. Br.,10月至翌年4月
铁冬青,铁冬青,Ilex rotunda Thunb.,9-12月
南洋杉,南洋杉,Araucaria cunninghamii Mudie,翌年7-9月
紫薇,紫薇,Lagerstroemia indica L.,9-12月
大花紫薇,大花紫薇,Lagerstroemia speciosa (L.) Pers.,10-12月
龙眼,龙眼,Dimocarpus longan Lour.,7-8月
荔枝,荔枝,Litchi chinensis Sonn.,6-7月
阴香,阴香,Cinnamomum burmanni (Nees et T. Nees) Blume,8-10月
肉桂,肉桂,Cinnamomum cassia (L.) D. Don,10-12月
高山榕,高山榕,Ficus altissima Bl.,8-11月
细叶榕,榕树,Ficus microcarpa L. f.,6-10月
黄葛榕,黄葛树,Ficus virens Aiton,5-8月
