植物中文名,中文学名,拉丁名,科名
美丽枕果榕,毛枕果榕,Ficus drupacea Thunb. var. pubescens (Roth) Corner,桑科
非洲楝,非洲楝,Khaya senegalensis (Desr.) A. Juss.,楝科
水石榕,水石榕,Elaeocarpus hainanensis Oliv.,杜英科
大琴叶榕,大琴叶榕,Ficus lyrata,桑科
朴树,朴,Celtis sinensis Pers.,大麻科
吊瓜树,吊瓜树,Kigelia africana (Lam.) Benth.,紫葳科
海南蒲桃,海南蒲桃,Syzygium hainanense H. T. Chang & R. H. Miao,桃金娘科
安石榴,石榴,Punica granatum L.,千屈菜科
黄金榕,黄金榕,Ficus microcarpa 'Golden Leaves',桑科
刺桐,刺桐,Erythrina variegata L.,豆科
鸡冠刺桐,鸡冠刺桐,Erythrina crista-galli L.,豆科
台湾相思,台湾相思,Acacia confusa Merr.,豆科
大叶相思,大叶相思,Acacia auriculiformis A. Cunn. ex Benth.,豆科
马占相思,马占相思,Acacia mangium Willd.,豆科
串钱柳,垂枝红千层,Melaleuca viminalis Byrnes,桃金娘科
红千层,红千层,Callistemon rigidus R. Br.,桃金娘科
白千层,白千层,Melaleuca cajuputi subsp. cumingiana (Turcz.) Barlow,桃金娘科
降香黄檀,降香,Dalbergia odorifera T. Chen,豆科
糖胶树,糖胶树,Alstonia scholaris (L.) R. Br.,夹竹桃科
铁冬青,铁冬青,Ilex rotunda Thunb.,冬青科
南洋杉,南洋杉,Araucaria cunninghamii Mudie,南洋杉科
紫薇,紫薇,Lagerstroemia indica L.,千屈菜科
大花紫薇,大花紫薇,Lagerstroemia speciosa (L.) Pers.,千屈菜科
龙眼,龙眼,Dimocarpus longan Lour.,无患子科
荔枝,荔枝,Litchi chinensis Sonn.,无患子科
阴香,阴香,Cinnamomum burmanni (Nees et T. Nees) Blume,樟科
肉桂,肉桂,Cinnamomum cassia (L.) D. Don,樟科
高山榕,高山榕,Ficus altissima Bl.,桑科
细叶榕,榕树,Ficus microcarpa L. f.,桑科
黄葛榕,黄葛树,Ficus virens Aiton,桑科
亚里垂榕,亚里垂榕,Ficus binnendijkii 'alii',桑科
斜叶榕,斜叶榕,Ficus tinctoria G. Forst. subsp. gibbosa (Bl.) Corner,桑科
五指毛桃,粗叶榕,Ficus hirta Vahl,桑科
黄槿,黄槿,Talipariti tiliaceum (L.) Fryxell,锦葵科
发财树,光瓜栗,Pachira glabra Pasq.,锦葵科
白兰,白兰,Michelia alba DC.,木兰科
紫玉兰,紫玉兰,Yulania liliflora (Desr.) D. L. Fu,木兰科
白玉兰,玉兰,Yulania denudata (Desr.) D. L. Fu,木兰科
荷花玉兰,荷花木兰,Magnolia grandiflora L.,木兰科
波罗蜜,波罗蜜,Artocarpus heterophyllus Lam.,桑科
红桂木,桂木,Artocarpus parvus Gagnep.,桑科
印度紫檀,紫檀,Pterocarpus indicus Willd.,豆科
枫香,枫香树,Liquidambar formosana Hance,金缕梅科
