植物中文名,中文学名,拉丁名,观赏特性
美丽枕果榕,毛枕果榕,Ficus drupacea Thunb. var. pubescens (Roth) Corner,观叶/观果
非洲楝,非洲楝,Khaya senegalensis (Desr.) A. Juss.,观叶/观株型
水石榕,水石榕,Elaeocarpus hainanensis Oliv.,观花/观叶
大琴叶榕,大琴叶榕,Ficus lyrata,观叶
朴树,朴,Celtis sinensis Pers.,观叶/观株型
吊瓜树,吊瓜树,Kigelia africana (Lam.) Benth.,观花/观果
海南蒲桃,海南蒲桃,Syzygium hainanense H. T. Chang & R. H. Miao,观花/观叶/观果
安石榴,石榴,Punica granatum L.,观花/观果
黄金榕,黄金榕,Ficus microcarpa 'Golden Leaves',观叶
刺桐,刺桐,Erythrina variegata L.,观花
鸡冠刺桐,鸡冠刺桐,Erythrina crista-galli L.,观花
台湾相思,台湾相思,Acacia confusa Merr.,观花/观叶
大叶相思,大叶相思,Acacia auriculiformis A. Cunn. ex Benth.,观叶/观株型
马占相思,马占相思,Acacia mangium Willd.,观叶/观株型
串钱柳,垂枝红千层,Melaleuca viminalis Byrnes,观花
红千层,红千层,Callistemon rigidus R. Br.,观花
白千层,白千层,Melaleuca cajuputi subsp. cumingiana (Turcz.) Barlow,观花/观株型
降香黄檀,降香,Dalbergia odorifera T. Chen,观叶/观株型
糖胶树,糖胶树,Alstonia scholaris (L.) R. Br.,观叶/观株型
铁冬青,铁冬青,Ilex rotunda Thunb.,观叶/观果
南洋杉,南洋杉,Araucaria cunninghamii Mudie,观叶/观株型
紫薇,紫薇,Lagerstroemia indica L.,观花
大花紫薇,大花紫薇,Lagerstroemia speciosa (L.) Pers.,观花
龙眼,龙眼,Dimocarpus longan Lour.,观花/观果
荔枝,荔枝,Litchi chinensis Sonn.,观花/观果
阴香,阴香,Cinnamomum burmanni (Nees et T. Nees) Blume,观叶
肉桂,肉桂,Cinnamomum cassia (L.) D. Don,观叶
高山榕,高山榕,Ficus altissima Bl.,观叶/观株型
细叶榕,榕树,Ficus microcarpa L. f.,观叶/观株型
黄葛榕,黄葛树,Ficus virens Aiton,观叶/观株型
亚里垂榕,亚里垂榕,Ficus binnendijkii 'alii',观叶/观株型
斜叶榕,斜叶榕,Ficus tinctoria G. Forst. subsp. gibbosa (Bl.) Corner,观叶
五指毛桃,粗叶榕,Ficus hirta Vahl,观叶/观果
黄槿,黄槿,Talipariti tiliaceum (L.) Fryxell,观花/观叶
发财树,光瓜栗,Pachira glabra Pasq.,观叶/观株型
白兰,白兰,Michelia alba DC.,观花
紫玉兰,紫玉兰,Yulania liliflora (Desr.) D. L. Fu,观花
白玉兰,玉兰,Yulania denudata (Desr.) D. L. Fu,观花
荷花玉兰,荷花木兰,Magnolia grandiflora L.,观花/观叶
波罗蜜,波罗蜜,Artocarpus heterophyllus Lam.,观叶/观果
红桂木,桂木,Artocarpus parvus Gagnep.,观叶/观果
印度紫檀,紫檀,Pterocarpus indicus Willd.,观花/观叶
枫香,枫香树,Liquidambar formosana Hance,观叶
阿江榄仁,阿江榄仁,Terminalia arjuna (Roxb. ex DC.) Wight et Arn.,观叶/观株型
大王椰子,大王椰,Roystonea regia (Kunth) O.F. Cook,观叶/观株型
