植物中文名,中文学名,拉丁名,科名,生活型,观赏特性,花期,果期,其它用途,国内分布,国外分布,其它有用信息
美丽枕果榕,毛枕果榕,Ficus drupacea Thunb. var. pubescens (Roth) Corner,桑科,乔木,观叶/观果,5-6月,7-10月,园林绿化；树皮可制绳索,云南、广西,尼泊尔、缅甸、老挝、越南、孟加拉国、印度、斯里兰卡,生于山地密林中
非洲楝,非洲楝,Khaya senegalensis (Desr.) A. Juss.,楝科,乔木,观叶/观株型,4-6月,翌年4-6月,园林绿化、行道树；木材致密坚硬，可作建筑、造船及家具用材,福建、台湾、广东、广西、海南,非洲热带地区、马达加斯加,生于热带低地林中
水石榕,水石榕,Elaeocarpus hainanensis Oliv.,杜英科,乔木,观花/观叶,6-7月,9-10月,园林绿化、溪边防护林,海南、广东南部、广西南部、云南东南部,越南、泰国,生于低湿处及山谷水边
大琴叶榕,大琴叶榕,Ficus lyrata,桑科,乔木,观叶,2-3月,12月至翌年1月,庭院观赏、盆栽观赏,华南地区有栽培,非洲热带地区,生于温暖湿润的疏林中
朴树,朴,Celtis sinensis Pers.,大麻科,乔木,观叶/观株型,4-5月,10-11月,园林绿化、行道树；木材坚硬可作家具、农具；叶和树皮可药用,华北、华东、华南、西南各地,朝鲜、日本、越南,生于平原、丘陵、山坡及路旁
吊瓜树,吊瓜树,Kigelia africana (Lam.) Benth.,紫葳科,乔木,观花/观果,4-5月,9-12月,园林绿化、庭荫树；树皮和果肉可药用；木材可作建筑用材,广东、海南、福建、台湾、云南有引种栽培,热带非洲、马达加斯加,生于热带草原及疏林地带
海南蒲桃,海南蒲桃,Syzygium hainanense H. T. Chang & R. H. Miao,桃金娘科,乔木,观花/观叶/观果,3-5月,6-9月,园林绿化、行道树；木材坚硬可作建筑、造船及家具用材；果实可食,海南、广东、广西、云南、福建、台湾,中南半岛、马来西亚、印度尼西亚、澳大利亚,生于低地森林及热带山地雨林中
安石榴,石榴,Punica granatum L.,千屈菜科,乔木/灌木,观花/观果,5-6月,9-10月,果树栽培；果实可食；根皮、果皮可药用,陕西、四川、河南、山东、安徽、云南等地广泛栽培,伊朗、印度、地中海沿岸、美国,生于山坡、旱地及庭园中
黄金榕,黄金榕,Ficus microcarpa 'Golden Leaves',桑科,乔木/灌木,观叶,5-6月,7-8月,园林绿化、绿篱、行道树、盆景造型,广东、广西、海南、云南、台湾,东南亚、澳大利亚,生于热带及亚热带地区
刺桐,刺桐,Erythrina variegata L.,豆科,乔木,观花,3-4月,8月,园林绿化、行道树、庭荫树；干皮或根皮可药用；木材可制手工艺品,福建、广东、海南、台湾、广西、云南、四川,印度、马来西亚、大洋洲诸岛,生于近海溪边、河岸及村旁
鸡冠刺桐,鸡冠刺桐,Erythrina crista-galli L.,豆科,乔木/灌木,观花,4-10月,8-10月,园林绿化、庭荫树、行道树,台湾、广东、云南有引种栽培,阿根廷、巴西、巴拉圭、乌拉圭,生于水塘边、公园及庭园中
台湾相思,台湾相思,Acacia confusa Merr.,豆科,乔木,观花/观叶,3-10月,8-12月,园林绿化、水土保持、行道树；木材坚硬可制家具、农具；树皮可提取单宁,台湾、福建、广东、广西、云南,菲律宾、印度尼西亚,生于荒山坡地及路旁
大叶相思,大叶相思,Acacia auriculiformis A. Cunn. ex Benth.,豆科,乔木,观叶/观株型,1-5月,5-9月,园林绿化、行道树、防护林；木材可作纸浆及建筑用材,广东、海南、广西、福建、台湾,澳大利亚、巴布亚新几内亚、印度尼西亚,生于低丘陵地带
马占相思,马占相思,Acacia mangium Willd.,豆科,乔木,观叶/观株型,3-6月,9-11月,园林绿化、防护林、水土保持；木材可作纸浆及建筑用材,广东、海南、广西、福建、云南,澳大利亚、巴布亚新几内亚、印度尼西亚,生于低山丘陵地带
串钱柳,垂枝红千层,Melaleuca viminalis Byrnes,桃金娘科,乔木/灌木,观花,4-8月,10-12月,园林绿化、庭园观赏,广东、广西、福建、台湾、云南有栽培,澳大利亚,生于温暖湿润的环境中
红千层,红千层,Callistemon rigidus R. Br.,桃金娘科,乔木/灌木,观花,6-8月,10-12月,园林绿化、庭园观赏,广东、广西、福建、台湾、浙江有栽培,澳大利亚,生于温暖湿润的环境中
白千层,白千层,Melaleuca cajuputi subsp. cumingiana (Turcz.) Barlow,桃金娘科,乔木,观花/观株型,6-12月,翌年2-3月,园林绿化、行道树；叶可提取白千层油（桉叶油）用于医药,广东、广西、海南、福建、台湾,澳大利亚、马来西亚、印度尼西亚,
降香黄檀,降香,Dalbergia odorifera T. Chen,豆科,乔木,观叶/观株型,3-4月,10-11月,珍贵红木家具用材；心材可入药，活血散瘀、止血定痛；香料,海南,无,生于半落叶季雨林及灌木林中的丘陵、山坡地
糖胶树,糖胶树,Alstonia scholaris (L.) R. Br.,夹竹桃科,乔木,观叶/观株型,6-11月,10月至翌年4月,园林绿化、行道树、庭荫树；根、皮、叶可药用；乳汁可提取口香糖原料,广东、广西、云南、海南、福建、台湾,印度、斯里兰卡、缅甸、泰国、越南、马来西亚、菲律宾、澳大利亚,生于海拔650米以下的低山丘陵疏林中或路旁
铁冬青,铁冬青,Ilex rotunda Thunb.,冬青科,乔木,观叶/观果,4-6月,9-12月,园林绿化、庭园观赏；根、叶可药用，清热解毒；树皮可提取染料和栲胶,江苏、安徽、浙江、江西、福建、广东、广西、湖南、海南、贵州、云南,朝鲜、日本、越南,生于海拔400-1100米的山坡常绿阔叶林中及林缘
南洋杉,南洋杉,Araucaria cunninghamii Mudie,南洋杉科,乔木,观叶/观株型,10-12月,翌年7-9月,园林绿化、庭园观赏；木材可作建筑用材,广东、福建、台湾、海南有栽培,澳大利亚、新几内亚,生于热带及亚热带地区
紫薇,紫薇,Lagerstroemia indica L.,千屈菜科,乔木/灌木,观花,6-9月,9-12月,园林绿化、庭园观赏；根、皮、花可药用,华东、华中、华南、西南各地广泛栽培,日本、朝鲜,生于山坡、沟边、路旁及庭园中
大花紫薇,大花紫薇,Lagerstroemia speciosa (L.) Pers.,千屈菜科,乔木,观花,5-7月,10-12月,园林绿化、行道树、庭荫树,广东、广西、福建、台湾、云南,印度、斯里兰卡、缅甸、泰国、越南、马来西亚、澳大利亚,生于热带及亚热带湿润地区
龙眼,龙眼,Dimocarpus longan Lour.,无患子科,乔木,观花/观果,3-4月,7-8月,果树栽培；果实可食可入药；木材坚硬可作家具,广东、广西、福建、台湾、云南、四川、贵州、海南,泰国、越南、印度、印度尼西亚、马来西亚,生于山地疏林及路旁村边
荔枝,荔枝,Litchi chinensis Sonn.,无患子科,乔木,观花/观果,2-4月,6-7月,果树栽培；果实可食可入药；木材坚硬可作家具,广东、广西、福建、海南、台湾、云南、四川,越南、泰国、印度、马达加斯加,生于低山丘陵及平原地区
阴香,阴香,Cinnamomum burmanni (Nees et T. Nees) Blume,樟科,乔木,观叶,3-4月,8-10月,园林绿化、行道树；叶可提取芳香油,广东、广西、福建、台湾、云南、江西,印度、缅甸、越南、印度尼西亚,生于疏林或密林中
肉桂,肉桂,Cinnamomum cassia (L.) D. Don,樟科,乔木,观叶,6-8月,10-12月,园林绿化；树皮为著名中药及调味品；叶可提取桂油,广东、广西、云南、福建,斯里兰卡、印度、缅甸、越南,生于常绿阔叶林中
高山榕,高山榕,Ficus altissima Bl.,桑科,乔木,观叶/观株型,5-7月,8-11月,园林绿化、庭荫树、行道树,广东、广西、云南、海南、台湾,印度、缅甸、泰国、越南、马来西亚,生于山坡或沟谷密林中
细叶榕,榕树,Ficus microcarpa L. f.,桑科,乔木,观叶/观株型,5-6月,6-10月,园林绿化、庭荫树、行道树、盆景,广东、广西、海南、台湾、福建、浙江、云南,印度、缅甸、泰国、马来西亚、澳大利亚,生于村旁、路边及山谷湿润处
黄葛榕,黄葛树,Ficus virens Aiton,桑科,乔木,观叶/观株型,3-4月,5-8月,园林绿化、庭荫树、行道树,广东、广西、云南、贵州、四川、湖南、湖北,越南、泰国、印度,生于海拔500-800米的山坡沟谷密林中
亚里垂榕,亚里垂榕,Ficus binnendijkii 'alii',桑科,乔木,观叶/观株型,4-7月,8-12月,园林绿化、庭荫树,广东、广西、海南、台湾、云南,越南、泰国、马来西亚、菲律宾,生于山谷密林中或溪边
斜叶榕,斜叶榕,Ficus tinctoria G. Forst. subsp. gibbosa (Bl.) Corner,桑科,乔木/灌木,观叶,4-6月,7-10月,园林绿化,广东、广西、海南、云南、福建、台湾,印度、越南、泰国、马来西亚,生于山谷溪边或疏林中
五指毛桃,粗叶榕,Ficus hirta Vahl,桑科,乔木/灌木,观叶/观果,4-5月,6-10月,园林绿化；根可药用，祛风除湿,广东、广西、海南、福建、云南、贵州、湖南、江西,越南、泰国、印度,生于山坡灌丛或疏林中
